# sentence_index,favorite_index,test_set_label,lambda,statistic,critical_val,sig_level,nan,status,P_value,Z
160.0,nan,1.0,nan,0.7047302132916649,0.0,0.0,nan,1.0,1.0,43404.194039636284
89.0,nan,0.0,nan,nan,0.0,0.0,nan,3.0,nan,nan
1240.0,nan,1.0,0.08237336629989009,0.7503973662615984,0.0,0.0,nan,2.0,0.8145306145502647,0.8947162852851545
845.0,nan,1.0,nan,nan,0.0,0.0,nan,3.0,nan,nan
1109.0,nan,1.0,nan,nan,0.0,0.0,nan,3.0,nan,nan
112.0,nan,0.0,nan,0.40117101338473127,0.0,0.0,nan,1.0,1.0,238.0690930377108
1144.0,nan,1.0,-0.9890908212156413,0.1397061009801117,0.0,0.0,nan,2.0,0.9953714400934975,2.6024096694083343
691.0,nan,0.0,-0.16727465063004826,0.17331286288468206,0.0,0.0,nan,2.0,0.9955690300273924,2.6173346978688894
1816.0,nan,0.0,-0.06236080479629841,0.5860411006597097,0.0,0.0,nan,2.0,0.8687242922337873,1.1203810528294458
819.0,nan,1.0,-31.821854764746554,0.3733230614999581,0.0,0.0,nan,2.0,0.9772682083006003,2.000339806511335
869.0,nan,0.0,nan,nan,0.0,0.0,nan,3.0,nan,nan
1082.0,nan,1.0,nan,nan,0.0,0.0,nan,3.0,nan,nan
479.0,nan,1.0,nan,nan,0.0,0.0,nan,3.0,nan,nan
1579.0,nan,0.0,nan,0.4084114514454509,0.0,0.0,nan,1.0,1.0,21397.557070927243
1649.0,nan,1.0,nan,0.24878076486098522,0.0,0.0,nan,1.0,0.7933874703023643,0.8182314162991903
314.0,nan,0.0,nan,0.44474242706167644,0.0,0.0,nan,1.0,1.0,21832.028441505223
952.0,nan,0.0,nan,0.580497878046355,0.0,0.0,nan,1.0,0.9998608336707885,3.6346737215233023
1408.0,nan,0.0,nan,0.5884369439204953,0.0,0.0,nan,1.0,0.8539497605033372,1.053524920463917
897.0,nan,0.0,-1.0924918307681517,0.5737142076734862,0.0,0.0,nan,2.0,0.9743471552701847,1.9489140536977916
1752.0,nan,0.0,-0.40411647959440344,0.7988412485854539,0.0,0.0,nan,2.0,0.9443480244456802,1.592359498543247
970.0,nan,0.0,nan,0.28813648874539854,0.0,0.0,nan,1.0,1.0,120.06766789485988
1466.0,nan,0.0,nan,nan,0.0,0.0,nan,3.0,nan,nan
633.0,nan,1.0,nan,nan,0.0,0.0,nan,3.0,nan,nan
737.0,nan,0.0,-0.2384611322911229,0.22708999622664194,0.0,0.0,nan,2.0,0.9894881011956111,2.3075568360566074
1780.0,nan,0.0,-0.4891726854173731,0.5236828449324218,0.0,0.0,nan,2.0,0.973833397053229,1.9403826307410061
1493.0,nan,0.0,nan,0.5530922488945276,0.0,0.0,nan,1.0,1.0,4053.347985533491
1668.0,nan,0.0,nan,nan,0.0,0.0,nan,3.0,nan,nan
1150.0,nan,1.0,-5.9672288254237875,0.2101174815988216,0.0,0.0,nan,2.0,0.9987092141065139,3.013612651234947
1689.0,nan,0.0,-1.718635898920393,0.513084042025092,0.0,0.0,nan,2.0,0.9905503891043229,2.347512839154232
1755.0,nan,1.0,-0.3231662048303091,0.6406330792541155,0.0,0.0,nan,2.0,0.9252720464977897,1.4414559728156298
48.0,nan,0.0,-1.6318919137039936,0.7722071895065916,0.0,0.0,nan,2.0,0.9763067017267018,1.982828436032689
945.0,nan,0.0,nan,nan,0.0,0.0,nan,3.0,nan,nan
1047.0,nan,0.0,-0.2738851776339163,0.5107851404390047,0.0,0.0,nan,2.0,0.8789027440440018,1.169519195770974
1182.0,nan,0.0,-1.7090587629980036,0.5948681949615224,0.0,0.0,nan,2.0,0.9739782949051776,1.9427745002507708
1073.0,nan,0.0,-0.7184168688452343,0.15202913645299176,0.0,0.0,nan,2.0,0.9983163880643424,2.932059353408168
724.0,nan,1.0,-0.14739338329702614,0.45781895696809016,0.0,0.0,nan,2.0,0.9076274018802966,1.326285353986268
1114.0,nan,0.0,nan,0.6791243760475609,0.0,0.0,nan,1.0,1.0,15932.787919948583
831.0,nan,0.0,nan,0.3056113666799014,0.0,0.0,nan,1.0,1.0,10802.183948404852
1393.0,nan,1.0,nan,nan,0.0,0.0,nan,3.0,nan,nan
1186.0,nan,1.0,-0.21543108067597289,0.369211723487858,0.0,0.0,nan,2.0,0.9990310058706541,3.0995745099361947
1040.0,nan,1.0,-2.3616331350403414,0.8979866227483182,0.0,0.0,nan,2.0,0.9858410985514049,2.1928553453113953
1300.0,nan,0.0,nan,0.5821703223357311,0.0,0.0,nan,1.0,0.7378879462318376,0.6368476150830906
267.0,nan,1.0,nan,nan,0.0,0.0,nan,3.0,nan,nan
386.0,nan,1.0,nan,nan,0.0,0.0,nan,3.0,nan,nan
33.0,nan,1.0,-0.5796521253041571,0.17586052065996682,0.0,0.0,nan,2.0,0.9967097438509848,2.717359323302291
647.0,nan,0.0,3.2639693668430567,0.4391972194648943,0.0,0.0,nan,2.0,1.0,73.96660428713923
773.0,nan,1.0,-0.2757735337491783,0.4670139921390595,0.0,0.0,nan,2.0,0.9922915709826217,2.4224356009471486
351.0,nan,0.0,nan,0.21647202679583444,0.0,0.0,nan,1.0,1.0,9.71586165260496
1365.0,nan,0.0,nan,nan,0.0,0.0,nan,3.0,nan,nan
218.0,nan,1.0,nan,nan,0.0,0.0,nan,3.0,nan,nan
142.0,nan,0.0,nan,nan,0.0,0.0,nan,3.0,nan,nan
227.0,nan,1.0,-0.5112150886784294,0.6025126482681316,0.0,0.0,nan,2.0,0.9999998404682723,5.111823742217497
1671.0,nan,0.0,-0.893281631747139,0.47351957456577765,0.0,0.0,nan,2.0,0.9864549327494452,2.2102165847543547
1158.0,nan,1.0,nan,0.44176627895065934,0.0,0.0,nan,1.0,1.0,246.37962713354338
1103.0,nan,1.0,-1.561080660227983,0.26381683213350726,0.0,0.0,nan,2.0,0.9999707678688537,4.018925054279356
1202.0,nan,0.0,nan,nan,0.0,0.0,nan,3.0,nan,nan
650.0,nan,0.0,-0.2674628703362635,0.3564378825819663,0.0,0.0,nan,2.0,0.9224193981036082,1.4215352830931183
1289.0,nan,1.0,-1.9274892215373345,0.30282959339692184,0.0,0.0,nan,2.0,0.9957053315437072,2.6279807780151923
1411.0,nan,1.0,-0.26492894100536535,0.5422019421675088,0.0,0.0,nan,2.0,0.9867550491446602,2.2189533014525438
1154.0,nan,0.0,-0.13347356433237803,0.1361096795381176,0.0,0.0,nan,2.0,0.976422323476144,1.9849022048063083
768.0,nan,1.0,nan,0.18157613376208293,0.0,0.0,nan,1.0,1.0,69309.01071758334
876.0,nan,1.0,nan,0.5320993811987584,0.0,0.0,nan,1.0,1.0,118.51331118565645
1522.0,nan,1.0,-29.491615797489843,0.41151035658525004,0.0,0.0,nan,2.0,0.9951749737934675,2.5881229695023578
1467.0,nan,1.0,1.0697102593515178,0.8065998994491679,0.0,0.0,nan,2.0,0.9804467688850944,2.063064902418759
1808.0,nan,0.0,nan,0.715974413494461,0.0,0.0,nan,1.0,1.0,38.492326945652486
1237.0,nan,1.0,-2.0488301675845966,0.507224463301549,0.0,0.0,nan,2.0,0.5137507402930925,0.03447482216297065
855.0,nan,1.0,nan,nan,0.0,0.0,nan,3.0,nan,nan
1786.0,nan,0.0,-0.48590764102019346,0.4065888781868452,0.0,0.0,nan,2.0,0.9857455949432291,2.190212762092619
513.0,nan,0.0,nan,nan,0.0,0.0,nan,3.0,nan,nan
684.0,nan,0.0,nan,0.564961748962757,0.0,0.0,nan,1.0,1.0,19.95479735770502
956.0,nan,1.0,-0.9248820991759196,0.2110664285101045,0.0,0.0,nan,2.0,0.9948264357341428,2.5640075783728
1475.0,nan,1.0,nan,nan,0.0,0.0,nan,3.0,nan,nan
1306.0,nan,1.0,-0.7229087219955813,0.15686994872437587,0.0,0.0,nan,2.0,0.9414495730690975,1.5670592036274693
1737.0,nan,1.0,nan,0.7001679770991913,0.0,0.0,nan,1.0,1.0,52382.16141086216
148.0,nan,1.0,nan,0.30656257800083786,0.0,0.0,nan,1.0,1.0,19.843796670600206
1337.0,nan,0.0,nan,0.5975585466361917,0.0,0.0,nan,1.0,0.9905632222725893,2.348019060518707
430.0,nan,0.0,nan,nan,0.0,0.0,nan,3.0,nan,nan
1027.0,nan,1.0,nan,0.40822544553653906,0.0,0.0,nan,1.0,0.9767917988767315,1.9915868966711494
500.0,nan,0.0,nan,0.7487869829552665,0.0,0.0,nan,1.0,1.0,3192.8781438204696
1658.0,nan,0.0,nan,0.30498903133724475,0.0,0.0,nan,1.0,0.9996266262351282,3.3718143995306664
519.0,nan,0.0,nan,nan,0.0,0.0,nan,3.0,nan,nan
313.0,nan,0.0,nan,0.5829539440441991,0.0,0.0,nan,1.0,0.9999198542141505,3.774558063913641
978.0,nan,1.0,nan,0.4855509208443358,0.0,0.0,nan,1.0,1.0,35.332271669248534
229.0,nan,1.0,nan,nan,0.0,0.0,nan,3.0,nan,nan
1701.0,nan,0.0,nan,nan,0.0,0.0,nan,3.0,nan,nan
1439.0,nan,0.0,-0.07835267014779299,0.3511130018505497,0.0,0.0,nan,2.0,0.8338524197746778,0.969501242771254
281.0,nan,1.0,nan,0.4536274841708696,0.0,0.0,nan,1.0,1.0,16599.02814908108
943.0,nan,1.0,nan,0.5435343340473615,0.0,0.0,nan,1.0,0.6616697127239054,0.41702438091672306
1007.0,nan,1.0,nan,0.7001362155798798,0.0,0.0,nan,1.0,1.0,49641.66107033212
799.0,nan,1.0,-9.591678247604225,0.6894621233016167,0.0,0.0,nan,2.0,0.9999771319061883,4.076410806064613
1506.0,nan,0.0,nan,0.3550732088442281,0.0,0.0,nan,1.0,1.0,8585.607858107966
770.0,nan,1.0,nan,0.4894076266695411,0.0,0.0,nan,1.0,1.0,79497.98971344187
1269.0,nan,1.0,-0.2800537938496407,0.5224499743000592,0.0,0.0,nan,2.0,0.8944824843776662,1.2507244380546652
144.0,nan,1.0,-1.5867713124772396,0.7688600559882701,0.0,0.0,nan,2.0,0.9729397929353797,1.9258715539504079
744.0,nan,1.0,nan,nan,0.0,0.0,nan,3.0,nan,nan
1265.0,nan,1.0,nan,0.345969444438901,0.0,0.0,nan,1.0,1.0,150.8243414519331
1256.0,nan,0.0,nan,nan,0.0,0.0,nan,3.0,nan,nan
721.0,nan,0.0,nan,0.4005528563356071,0.0,0.0,nan,1.0,0.9980099836490082,2.879739978899027
57.0,nan,0.0,nan,0.6532825677259133,0.0,0.0,nan,1.0,0.8062584976159277,0.8641909466066946
639.0,nan,1.0,nan,0.3651859990806603,0.0,0.0,nan,1.0,0.9106884963749224,1.3450068971404288
604.0,nan,1.0,-0.21305044566688153,0.4598341445483669,0.0,0.0,nan,2.0,0.9999999987991315,5.968003853879884
646.0,nan,1.0,-0.3783737219989657,0.27293978588525647,0.0,0.0,nan,2.0,0.9996686023189001,3.404523750868033
1175.0,nan,0.0,nan,0.24821978455906546,0.0,0.0,nan,1.0,0.9999984140931966,4.659368229869156
269.0,nan,0.0,nan,nan,0.0,0.0,nan,3.0,nan,nan
620.0,nan,0.0,nan,nan,0.0,0.0,nan,3.0,nan,nan
1792.0,nan,0.0,0.2771405233440803,0.35158703178151995,0.0,0.0,nan,2.0,0.9967433620375961,2.7207562973758472
986.0,nan,1.0,nan,nan,0.0,0.0,nan,3.0,nan,nan
330.0,nan,1.0,-0.3614728124747536,0.6511550858973685,0.0,0.0,nan,2.0,0.9976469847467484,2.8264961819700885
1433.0,nan,1.0,-0.9020047241669084,0.18873320793831283,0.0,0.0,nan,2.0,0.9738855045931702,1.941241506132789
420.0,nan,0.0,nan,0.3581308248996953,0.0,0.0,nan,1.0,1.0,2502.238727317895
1181.0,nan,1.0,nan,0.6984805998253449,0.0,0.0,nan,1.0,1.0,20549.74748767707
1259.0,nan,1.0,nan,nan,0.0,0.0,nan,3.0,nan,nan
1558.0,nan,0.0,-47.00476074329085,0.5327177937034371,0.0,0.0,nan,2.0,0.977539897037367,2.0054008967575556
1176.0,nan,1.0,nan,0.2920154432537583,0.0,0.0,nan,1.0,1.0,10.613347633282926
969.0,nan,0.0,nan,nan,0.0,0.0,nan,3.0,nan,nan
866.0,nan,1.0,-0.4341555868771347,0.2042094920194799,0.0,0.0,nan,2.0,0.9610563049495318,1.763077674205308
1022.0,nan,1.0,-0.4699012201550669,0.3614085064937367,0.0,0.0,nan,2.0,0.9766460594062562,1.988939500003179
24.0,nan,0.0,nan,nan,0.0,0.0,nan,3.0,nan,nan
